Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude
Juniper Bethshan,7 Piesse Street,,KATANNING,WA,6317,Great Southern,Residential,26,,,Uniting Church Homes,Religious,Outer Regional Australia,-33.68652592,117.5622897
Juniper Elimatta,45 Alexander Drive,,MENORA,WA,6050,Metropolitan North,Residential,42,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.91865729,115.8651012
Juniper Riverslea,100 Guildford Road,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,46,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.93431014,115.8863829
Regis North Fremantle,23 Harvest Road,,NORTH FREMANTLE,WA,6159,Metropolitan South West,Residential,110,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.03377,115.75635
Dryandra Residential and Community Care Inc,45 Leake Street,,KELLERBERRIN,WA,6410,Wheatbelt,Residential,47,,,Burswood Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,-31.63272595,117.7137601
Joseph Banks Aged Care Facility,58 Canna Drive,,CANNING VALE,WA,6155,Metropolitan South East,Residential,82,,,Retirees WA (Inc),Charitable,Major Cities of Australia,-32.06677611,115.9349975
Servite Villa,184 Edinboro Street,,JOONDANNA,WA,6060,Metropolitan North,Residential,32,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.90904149,115.8415481
Archbishop Goody Hostel,29 Goderich Street,,EAST PERTH,WA,6004,Metropolitan East,Residential,40,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.95851344,115.8751996
Thomas Scott Hostel,63 Ypres Road,,CAMILLO,WA,6111,Metropolitan South East,Residential,40,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.11820203,116.0003474
Ritcher Lodge,480-482 Guildford Road,,BAYSWATER,WA,6053,Metropolitan East,Residential,45,,,ALINEA INC.,Charitable,Major Cities of Australia,-31.92425063,115.9224303
Waratah Lodge,6 Arnott Street,,WAGIN,WA,6315,Wheatbelt,Residential,18,,,Wagin Frail Aged Inc,Charitable,Outer Regional Australia,-33.30382883,117.3461753
Marine Views Cottesloe,40 Marine Parade,,COTTESLOE,WA,6011,Metropolitan North,Residential,128,,,Curtin Heritage Living Inc.,Community Based,Major Cities of Australia,-32.009066,115.752601
Lefroy Care Centre,22 Lefroy Road,,BULL CREEK,WA,6149,Metropolitan South West,Residential,44,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.054438,115.871049
Tuia Lodge,30 Allnutt Street,,DONNYBROOK,WA,6239,South West,Residential,40,,,Great Southern Care Company Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.57758892,115.815516
Pam Corker House,Lot 29 Eastcott Street,,WAROONA,WA,6215,Metropolitan South West,Residential,45,,,Quambie Park Waroona (Inc),Community Based,Inner Regional Australia,-32.84292,115.92824
Geegeelup Aged Care Facility,3 Scott Street,,BRIDGETOWN,WA,6255,South West,Residential,32,,,Geegeelup Aged Care Facility,Community Based,Outer Regional Australia,-33.95559439,116.1292036
Bethanie Illawong,1 Rodd Place,,HAMILTON HILL,WA,6163,Metropolitan South West,Residential,39,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.09272,115.79159
Juniper Hillcrest,40 Onslow Street,,GERALDTON,WA,6530,Mid West,Residential,80,,,Uniting Church Homes,Religious,Outer Regional Australia,-28.78599872,114.6142208
Fairhaven,15 Pine tree Close,,ARMADALE,WA,6112,Metropolitan South East,Residential,26,,,Free Reformed Retirement Village Association Inc,Religious,Major Cities of Australia,-32.1512,116.003163
Juniper Bethavon,107 Duke Street,,NORTHAM,WA,6401,Wheatbelt,Residential,33,,,Uniting Church Homes,Religious,Inner Regional Australia,-31.65767596,116.6720881
Jacaranda Lodge,55 Belgrade Road,,WANNEROO,WA,6065,Metropolitan North,Residential,65,,,Shire of Wanneroo Aged Persons Homes Trust Inc,Community Based,Major Cities of Australia,-31.75084,115.81627
Bethanie Edinboro,130 Edinboro Street,,JOONDANNA,WA,6060,Metropolitan North,Residential,60,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.91309554,115.8417819
Juniper St David's,17-19 Lawley Crescent,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,46,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.93179,115.87746
Juniper Cygnet,"Rowethorpe, 4-10 Hayman Road",,BENTLEY,WA,6102,Metropolitan South East,Residential,42,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00516299,115.8985751
Juniper Hilltop,"Rowethorpe, 4-10 Hayman Road",,BENTLEY,WA,6102,Metropolitan South East,Residential,59,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00516299,115.8985751
Juniper Trinity,Rowethorpe,4 - 10 Hayman Road,BENTLEY,WA,6102,Metropolitan South East,Residential,52,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00516299,115.8985751
Seaforth Gardens Senior Citizens' Residence,2542 Albany Highway,,GOSNELLS,WA,6110,Metropolitan South East,Residential,61,,,The Salvation Army (Western Australia) Property Trust,Religious,Major Cities of Australia,-32.07853647,116.0088065
Regis Nedlands,118-120 Monash Avenue,,NEDLANDS,WA,6009,Metropolitan North,Residential,141,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97154879,115.8077478
Regis Weston,118-120 Monash Avenue,,NEDLANDS,WA,6009,Metropolitan North,Residential,133,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97154879,115.8077478
Acacia Living Group Menora Gardens Aged Care Facility,51 Alexander Drive,,MENORA,WA,6050,Metropolitan North,Residential,178,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-31.917144,115.865665
St Francis Hostel,678 North Beach Road,,GWELUP,WA,6018,Metropolitan North,Residential,41,,,Mt La Verna Retirement Village Inc,Charitable,Major Cities of Australia,-31.87373472,115.7953506
Carramar Hostel,23a Redgum Way,,MORLEY,WA,6062,Metropolitan East,Residential,40,,,City of Bayswater,Local Government,Major Cities of Australia,-31.87662693,115.9269809
Acacia Living Group Meadow Springs Aged Care Facility,82 Oakmont Avenue,,MEADOW SPRINGS,WA,6210,Metropolitan South West,Residential,87,,,Acacia Living Group Limited,Charitable,Major Cities of Australia,-32.50153304,115.7437229
Hellenic Community Aged Care,2 Hellenic Drive,,DIANELLA,WA,6059,Metropolitan North,Residential,96,,,Hellenic Community Benevolent Association Inc,Community Based,Major Cities of Australia,-31.86981717,115.8754562
Italian Village Fremantle,95 Samson Street,,WHITE GUM VALLEY,WA,6162,Metropolitan South West,Residential,101,,,Fremantle Italian Aged Persons Service Association,Community Based,Major Cities of Australia,-32.06189941,115.7698585
Germanus Kent House,20 Dickson Street,,BROOME,WA,6725,Kimberley,Residential,55,,,Southern Cross Care (WA) Inc,Religious,Remote Australia,-17.96840782,122.2274813
Baptistcare Yallambee,2 Fenton Street,,MUNDARING,WA,6073,Metropolitan East,Residential,40,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.90417673,116.1712758
Baptistcare Gracewood,20 Roebuck Drive,,SALTER POINT,WA,6152,Metropolitan South East,Residential,110,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-32.02085307,115.8612508
Yaandina Aged Care,58 Hampton Street,,ROEBOURNE,WA,6718,Pilbara,Residential,28,,,Yaandina Community Services Limited,Community Based,Remote Australia,-20.77674726,117.1429891
Trinity Village,7 Beddi Road,,DUNCRAIG,WA,6023,Metropolitan North,Residential,39,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.83991,115.76429
Edgewater Mercy Hostel,9 Harvest Loop,,EDGEWATER,WA,6027,Metropolitan North,Residential,33,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-31.76612,115.777747
Baptistcare Graceford,18 Turner Road,,BYFORD,WA,6122,Metropolitan South East,Residential,68,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-32.22830167,116.0027316
Halls Creek Peoples Church Frail Aged Hostel,Lot 440 Neighbour Street,,HALLS CREEK,WA,6770,Kimberley,Residential,28,,,Halls Creek Peoples Church Incorporated,Community Based,Very Remote Australia,-18.22583418,127.674771
Riversea Mosman Park,1 Wallace Lane,,MOSMAN PARK,WA,6012,Metropolitan North,Residential,44,,,Curtin Heritage Living Inc.,Community Based,Major Cities of Australia,-32.01569727,115.7557903
Bethanie Geneff,39 Hertha Road,,INNALOO,WA,6018,Metropolitan North,Residential,38,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.89099599,115.7997717
Baptistcare Morrison Gardens,1-A North Street,,MIDLAND,WA,6056,Metropolitan East,Residential,73,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.88549892,116.0146727
Brightwater Joondalup,6 Jolstra Crescent,,JOONDALUP,WA,6027,Metropolitan North,Residential,20,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.72414539,115.7599745
Juniper John Bryant,95 Rawlinson Drive,,MARANGAROO,WA,6064,Metropolitan North,Residential,42,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.82838,115.85157
Barridale Lodge,89 Barridale Drive,,KINGSLEY,WA,6026,Metropolitan North,Residential,24,,,Shire of Wanneroo Aged Persons Homes Trust Inc,Community Based,Major Cities of Australia,-31.81326,115.79684
Bert England Lodge,111 Woodbridge Drive,,COOLOONGUP,WA,6168,Metropolitan South West,Residential,44,,,City of Rockingham,Local Government,Major Cities of Australia,-32.289798,115.768642
Frederick Guest Hostel,25 Gleddon Road,,BULL CREEK,WA,6149,Metropolitan South West,Residential,40,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.05147639,115.8589334
Brightwater South Lake,62 Bloodwood Circle,,SOUTH LAKE,WA,6164,Metropolitan South West,Residential,30,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.09955,115.84742
Brightwater Huntingdale,31 Mildenhall Street,,HUNTINGDALE,WA,6110,Metropolitan South East,Residential,30,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.07361869,115.9640421
Burswood Care Sunshine Park,10 Brady Road,,LESMURDIE,WA,6076,Metropolitan East,Residential,36,,,Burswood Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.00953,116.04353
James Watson Centre,7 Lime Street,,EAST PERTH,WA,6004,Metropolitan East,Residential,40,,,St Bartholomew's House Inc,Charitable,Major Cities of Australia,-31.950984,115.86993
Hale Hostel,31 Waverley Road,,COOLBELLUP,WA,6163,Metropolitan South West,Residential,40,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.08042946,115.8107866
Brightwater Redcliffe,23 Johnson Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,50,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.94165387,115.9429848
MYVISTA Balcatta,11 Nugent Street,,BALCATTA,WA,6021,Metropolitan North,Residential,102,,,Stirling Ethnic Aged Home Association (Inc),Community Based,Major Cities of Australia,-31.86585,115.82716
Bethanie Kingsley,190 Twickenham Drive,,KINGSLEY,WA,6026,Metropolitan North,Residential,37,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.81004,115.787
Guildford Village,34 Swan Street East,,GUILDFORD,WA,6055,Metropolitan East,Residential,30,,,Pu-Fam Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.89679,115.98051
Karri and Tuart Lodge,19 Hughie Edwards Drive,,MERRIWA,WA,6030,Metropolitan North,Residential,110,,,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,-31.65734987,115.7080843
Baptistcare Bethel,2 Bethel Way,,YAKAMIA,WA,6330,Great Southern,Residential,85,,,Baptistcare WA Limited,Religious,Outer Regional Australia,-35.0067,117.88095
Kinross Care Centre,71 Kinross Drive,,KINROSS,WA,6028,Metropolitan North,Residential,48,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.71887648,115.7348441
Bethanie Peel,2 Maclaggan Turn,,COODANUP,WA,6210,Metropolitan South West,Residential,50,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.54165383,115.7484494
Canning Lodge,6 Caprice Place,,WILLETTON,WA,6155,Metropolitan South East,Residential,42,,,City of Canning,Local Government,Major Cities of Australia,-32.03946146,115.8895645
Manoah House,3/86 Mills Road West,,MARTIN,WA,6110,Metropolitan South East,Residential,33,,,Association for Christian Senior Citizens Homes WA Inc,Religious,Major Cities of Australia,-32.067647,116.007508
Jeremiah Donovan House,138 Lewis Road,,FORRESTFIELD,WA,6058,Metropolitan East,Residential,65,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.99605,116.01994
Second Avenue Hostel,51-53 2nd Avenue,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,14,,,Atlanta Investments Pty Ltd & Kamina Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.929491,115.87917
MercyCare Rockingham,1 Tanby Place,,COOLOONGUP,WA,6168,Metropolitan South West,Residential,54,,,Mercy Human Services Limited,Charitable,Major Cities of Australia,-32.303703,115.753774
Karinya Residential Care,50 Felspar Street,,NARROGIN,WA,6312,Wheatbelt,Residential,50,,,Narrogin Cottage Homes Inc,Community Based,Outer Regional Australia,-32.94028997,117.1725479
Michael Lee Centre,80-82 Henley Street,,COMO,WA,6152,Metropolitan South East,Residential,130,,,Meath Care (Inc),Community Based,Major Cities of Australia,-32.0051482,115.8737659
Carinya Of Bicton,220 Preston Point Road,,BICTON,WA,6157,Metropolitan South West,Residential,47,,,Bansley Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.03049,115.78344
Peter Arney Home,1 Gentilli Way,,SALTER POINT,WA,6152,Metropolitan South East,Residential,100,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.01765,115.85898
Brightwater Birralee,155 Odin Road,,INNALOO,WA,6018,Metropolitan North,Residential,30,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.8871953,115.7998545
Castledare Retirement Village,108 Fern Road,,WILSON,WA,6107,Metropolitan South East,Residential,73,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-32.02263878,115.913388
Villa Dalmacia Aged Care Facility,27 Gorham Way,,SPEARWOOD,WA,6163,Metropolitan South West,Residential,70,,,Villa Dalmacia Association Inc,Community Based,Major Cities of Australia,-32.099118,115.773244
Aegis Greenfields,95 Lakes Road,,GREENFIELDS,WA,6210,Metropolitan South West,Residential,106,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.53238547,115.7592008
Melville Parkside Care Community,15 Cottrill Street,,MYAREE,WA,6154,Metropolitan South West,Residential,51,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.03861358,115.8101634
Brightwater Oxford Gardens,30 Regents Park Road,,JOONDALUP,WA,6027,Metropolitan North,Residential,61,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.73626,115.77171
Brightwater The Oaks,2-10 Oakwood Crescent,,WAIKIKI,WA,6169,Metropolitan South West,Residential,61,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.32062,115.7562
MercyCare Joondalup,21 Aldwych Way,,JOONDALUP,WA,6027,Metropolitan North,Residential,105,,,Mercy Human Services Limited,Charitable,Major Cities of Australia,-31.733716,115.767295
Juniper Ella Williams,77 Camboon Road,,NORANDA,WA,6062,Metropolitan East,Residential,66,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.87756906,115.8881272
Margaret Hubery House,36 Fifth Avenue,,ROSSMOYNE,WA,6148,Metropolitan South East,Residential,65,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-32.03637,115.8739
Aegis The Pines,167 Ponte Vecchio Boulevarde,,ELLENBROOK,WA,6069,Metropolitan East,Residential,78,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.79244,115.96336
MercyCare Kelmscott,89 Clifton Street,,KELMSCOTT,WA,6111,Metropolitan South East,Residential,45,,,Mercy Human Services Limited,Charitable,Major Cities of Australia,-32.11460031,116.0195805
Regis Bunbury,926 Woodrow Street,,CAREY PARK,WA,6230,South West,Residential,95,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.34834243,115.6487641
Esperance Aged Care Facility,17 Eyre Street,,ESPERANCE,WA,6450,Goldfields,Residential,94,,,Esperance Aged Care Facility Inc,Community Based,Remote Australia,-33.855301,121.893261
Ocean Star Aged Care,207 Ocean Drive,,BUNBURY,WA,6230,South West,Residential,42,,,Catholic Homes Incorporated,Religious,Inner Regional Australia,-33.35036441,115.621807
Howard Solomon Aged Care Facility,91 Hybanthus Road,,FERNDALE,WA,6148,Metropolitan South East,Residential,126,,,Grand Lodge of Western Australian Freemasons Homes for the Aged Inc,Charitable,Major Cities of Australia,-32.038641,115.921126
Aegis Lakeside,33 Stanton Road,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,27,,,Lakeside Hostel Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93974,115.94117
Juniper Sarah Hardey,222 Cammillo Road,,KELMSCOTT,WA,6111,Metropolitan South East,Residential,64,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.12112916,116.0137948
Brightwater Onslow Gardens,39 Hamersley Road,,SUBIACO,WA,6008,Metropolitan North,Residential,62,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.95304,115.82907
Aegis Alfred Carson,30 Bay Road,,CLAREMONT,WA,6010,Metropolitan North,Residential,90,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.98432635,115.7899285
Brightwater The Village,150 Dundas Road,,INGLEWOOD,WA,6052,Metropolitan East,Residential,64,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.9126282,115.8775075
Kalkarni Residency,Lot 456 Whittington Street,,BROOKTON,WA,6306,Wheatbelt,Residential,43,,,Baptistcare WA Limited,Religious,Outer Regional Australia,-32.36887402,117.0077597
Juniper Numbala Nunga,32 Sutherland Street,,DERBY,WA,6728,Kimberley,Residential,26,,,Uniting Church Homes,Religious,Very Remote Australia,-17.309831,123.652601
Aegis Hilton Park,19 Laidlaw Street,,HILTON,WA,6163,Metropolitan South West,Residential,136,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.07277,115.79019
Aegis Sandstrom,44 Whatley Crescent,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,48,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.935223,115.881457
Aegis St Michael's,53 Wasley Street,,NORTH PERTH,WA,6006,Metropolitan East,Residential,102,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93176984,115.8619193
Braemar House,10 Windsor Road,,EAST FREMANTLE,WA,6158,Metropolitan South West,Residential,58,,,The Commissioners of the Presbyterian Church in WA,Religious,Major Cities of Australia,-32.03911,115.77111
Regis Embleton,46 Broun Avenue,,EMBLETON,WA,6062,Metropolitan East,Residential,82,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.89661956,115.9116334
Little Sisters of the Poor Glendalough Home,2 Rawlins Street,,GLENDALOUGH,WA,6016,Metropolitan North,Residential,60,,,Little Sisters of the Poor Aged Care Ltd,Religious,Major Cities of Australia,-31.92046544,115.8233081
Hamersley Nursing Home,441 ROKEBY Road,,SHENTON PARK,WA,6008,Metropolitan North,Residential,79,,,Fresh Fields Management (NSW) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.95793787,115.8235531
"David, Gita and Michael Hoffman Nursing Home",119 Cresswell Road,,YOKINE,WA,6060,Metropolitan North,Residential,91,,,Maurice Zeffert Home (Inc),Religious,Major Cities of Australia,-31.901237,115.864288
Alice Ross-King Care Centre,Air Force Memorial Estate,2 Bull Creek Drive,BULL CREEK,WA,6149,Metropolitan South West,Residential,102,,,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,-32.04799739,115.8560915
St Luke's Nursing Home,429 ROKEBY Road,,SHENTON PARK,WA,6008,Metropolitan North,Residential,35,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.95718,115.82355
St Ritas Nursing Home,25 View Street,,NORTH PERTH,WA,6006,Metropolitan East,Residential,47,,,Casson Homes Incorporated,Community Based,Major Cities of Australia,-31.93210441,115.8564705
St Vincent's Aged Care,"224 Swan Street, West",,GUILDFORD,WA,6055,Metropolitan East,Residential,88,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,-31.896428,115.961364
Regis Greenmount,22 Coongan Avenue,,GREENMOUNT,WA,6056,Metropolitan East,Residential,127,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.90258,116.0432
Leighton Nursing Home,40 Florence Street,,WEST PERTH,WA,6005,Metropolitan East,Residential,72,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93677984,115.8510757
The 2nd Avenue Nursing Home,51-53 Second Avenue,,MOUNT LAWLEY,WA,6050,Metropolitan East,Residential,30,,,Atlanta Investments Pty Ltd & Kamina Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.9295,115.87917
Tuohy Nursing Home,22 Morrison Road,,MIDLAND,WA,6056,Metropolitan East,Residential,50,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.88801531,115.9986927
Nazareth House Geraldton,17 Crowtherton Street,,BLUFF POINT,WA,6530,Mid West,Residential,111,,,Nazareth Care,Religious,Outer Regional Australia,-28.72947883,114.6227755
Juniper Annesley,Rowethorpe,4 - 10 Hayman Road,BENTLEY,WA,6102,Metropolitan South East,Residential,104,,,Uniting Church Homes,Religious,Major Cities of Australia,-32.00516299,115.8985751
Residency by Dillons Fremantle,162 Holland Street,,FREMANTLE,WA,6160,Metropolitan South West,Residential,41,,,Jacqueline Elizabeth Dillon Business Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0491,115.77723
Rockingham Nursing Home,14 Langley Street,,ROCKINGHAM,WA,6168,Metropolitan South West,Residential,40,,,Fresh Fields Management (NSW) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.28142856,115.7267793
Windsor Park Aged Care,110 Star Street,,CARLISLE,WA,6101,Metropolitan South East,Residential,118,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97963,115.92077
SwanCare Kingia/Tandara,5 Allen Court,,BENTLEY,WA,6102,Metropolitan South East,Residential,160,,,SwanCare Group Inc.,Charitable,Major Cities of Australia,-31.99991994,115.8966037
